route_id,source_airport_id,destination_airport_id,num_stops,distance
0,3253,6972,7,129.463900295
1,3253,6972,9,129.522843846
2,3253,6972,10,129.529393749
3,3253,4026,10,202.217963583
4,3253,4026,11,202.218185262
5,3253,4026,11,202.219241316
6,3253,1869,13,197.904982448
7,3253,1869,14,197.91722396
8,3253,1869,14,197.932096269
9,3253,4024,10,187.479934397
10,3253,4024,11,187.518112555
11,3253,4024,12,187.760850464
12,3253,4025,10,203.034155234
13,3253,4025,11,203.034376912
14,3253,4025,11,203.035432967
15,3253,4022,10,165.827835571
16,3253,4022,11,165.85975908
17,3253,4022,11,165.86601373
18,3253,4023,10,186.621926316
19,3253,4023,11,186.622060059
20,3253,4023,12,186.631511523
21,3253,4020,10,165.692283146
22,3253,4020,11,165.724206655
23,3253,4020,11,165.730461305
24,3253,4021,10,166.717585676
25,3253,4021,11,166.749509185
26,3253,4021,11,166.755763835
27,3253,4028,10,182.179475613
28,3253,4028,11,182.217653771
29,3253,4028,10,182.745026976
30,3253,4029,4,108.871752662
31,3253,4029,5,109.042995287
32,3253,4029,6,109.065791274
33,3253,5980,6,50.8210227828
34,3253,5980,7,51.1399691034
35,3253,5980,7,51.3750262657
36,3253,5984,5,47.588281356
37,3253,5984,6,47.9072276766
38,3253,5984,6,48.8508375904
39,3253,344,5,132.26711529
40,3253,344,6,132.279200001
41,3253,344,7,132.279348223
42,3253,345,5,132.802576449
43,3253,345,5,132.810119986
44,3253,345,6,132.810268209
45,3253,346,4,126.987776205
46,3253,346,5,126.999860915
47,3253,346,6,127.000009138
48,3253,347,5,128.151928212
49,3253,347,6,128.157469269
50,3253,347,6,128.185430756
51,3253,340,4,130.615350719
52,3253,340,5,130.615523108
53,3253,340,5,130.620626186
54,3253,341,5,132.56584573
55,3253,341,6,132.57793044
56,3253,341,7,132.578078663
57,3253,342,5,131.157923834
58,3253,342,6,131.157985258
59,3253,342,6,131.163464892
60,3253,3998,7,133.250946475
61,3253,3998,6,133.290771112
62,3253,3998,7,133.291635223
63,3253,3997,6,196.804882515
64,3253,3997,10,197.012603792
65,3253,3997,11,197.0133376
66,3253,3995,6,196.37537858
67,3253,3995,10,196.583099857
68,3253,3995,11,196.583833665
69,3253,3994,8,35.0046673007
70,3253,3994,9,35.0428454592
71,3253,3994,9,35.962982024
72,3253,348,5,128.069698827
73,3253,348,6,128.075239885
74,3253,348,6,128.100618287
75,3253,3992,8,53.8695566607
76,3253,3992,9,53.9077348191
77,3253,3992,9,54.8278713839
78,3253,7519,8,42.5738458936
79,3253,7519,9,42.6598543706
80,3253,7519,9,43.5321606169
81,3253,3990,5,64.0477100844
82,3253,3990,6,64.366656405
